## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.industry,entity.numberofemployees,entity.companyheadquarters,entity.marketsite,entity.product,entity.custom8,entity.custom9,entity.custom10
casestudy_lion,lion,casestudy, ,https://www.concur.com.au/sites/default/files/au/lion_logo1.jpg, ,https://www.concur.com.au/casestudy/lion, , , , ,Consumer Products Manufacturers,2700,Australia,AU,Concur Expense,,,
casestudy_honda-new-zealand,honda-new-zealand,casestudy, ,https://www.concur.com.au/sites/default/files/au/honda.jpg, ,https://www.concur.com.au/casestudy/honda-new-zealand, , , , ,Other,240,Not Found,AU,Concur Expense,,,
casestudy_bom,bom,casestudy, ,https://www.concur.com.au/sites/default/files/au/bom_logo.jpg, ,https://www.concur.com.au/casestudy/bom, , , , ,Other,1500,Australia,AU,Concur Expense,,,
casestudy_mushroom-group,mushroom-group,casestudy, ,https://www.concur.com.au/sites/default/files/au/mushroom_group_logo.png, ,https://www.concur.com.au/casestudy/mushroom-group, , , , ,Hospitality and Leisure,250,ANZ,AU,Concur Expense,,,
casestudy_newcrest-mining,newcrest-mining,casestudy, ,https://www.concur.com.au/sites/default/files/au/download_0.png, ,https://www.concur.com.au/casestudy/newcrest-mining, , , , ,Metals and Mining,"6,150","Australia, India, Canada, USA",AU,Concur Expense,,,
casestudy_gallagher,gallagher,casestudy, ,https://www.concur.com.au/sites/default/files/au/gallagher-logo-01.jpg, ,https://www.concur.com.au/casestudy/gallagher, , , , ,Agriculture,1300,"Hamilton, New Zealand",AU,Concur Expense,,,
casestudy_acquis-consulting-group,acquis-consulting-group,casestudy, ,https://www.concur.com.au/sites/default/files/au/acquis_1_1.jpeg, ,https://www.concur.com.au/casestudy/acquis-consulting-group, , , , ,Professional Services,125,"New York, NY",AU,Concur Invoice,,,
casestudy_merck,merck,casestudy, ,https://www.concur.com.au/sites/default/files/au/merck_logo_logotype_1.jpeg, ,https://www.concur.com.au/casestudy/merck, , , , ,Pharmaceuticals Manufacturing,"65,000","Rahway, NJ",AU,Concur Expense,,,
casestudy_standard-chartered-bank,standard-chartered-bank,casestudy, ,https://www.concur.com.au/sites/default/files/au/sc-lock-up-english-grey-rgb_1.png, ,https://www.concur.com.au/casestudy/standard-chartered-bank, , , , ,Financial Services,"85,000","London, UK",AU,Concur Expense,,,
casestudy_cirque-du-soleil,cirque-du-soleil,casestudy, ,https://www.concur.com.au/sites/default/files/au/sap_concur_cirque_du_soleil_case_study_creative_english_version_wip.jpeg, ,https://www.concur.com.au/casestudy/cirque-du-soleil, , , , ,Hospitality and Leisure,4001,"Montreal, Quebec",AU,Concur Expense,,,
casestudy_dermalogica,dermalogica,casestudy, ,https://www.concur.com.au/sites/default/files/au/dermalogica_logo.png, ,https://www.concur.com.au/casestudy/dermalogica, , , , ,Consumer Products Manufacturers,180,"Sydney, Australia",AU,Concur Expense,,,
casestudy_pwc,pwc,casestudy, ,https://www.concur.com.au/sites/default/files/au/84b7d31a-4bb9-4c2b-a962-494b29b36976.jpg, ,https://www.concur.com.au/casestudy/pwc, , , , ,Professional Services,"284,000",Germany,AU,Concur Expense,,,
casestudy_asics,asics,casestudy, ,https://www.concur.com.au/sites/default/files/au/6e7456fc-c561-405d-8f42-bb3bafd9e8ef.jpg, ,https://www.concur.com.au/casestudy/asics, , , , ,Retail,2000,Netherlands,AU,Central Reconciliation,,,
casestudy_longchamp,longchamp,casestudy, ,https://www.concur.com.au/sites/default/files/au/03eae04c-963e-47c8-ae1d-bc02ff2fb7b3.jpg, ,https://www.concur.com.au/casestudy/longchamp, , , , ,Retail,2500,France,AU,Concur Expense,,,
casestudy_lindt,lindt,casestudy, ,https://www.concur.com.au/sites/default/files/au/download.png, ,https://www.concur.com.au/casestudy/lindt, , , , ,Food,"15,000",Germany,AU,Concur Expense,,,
casestudy_lewis-land,lewis-land,casestudy, ,https://www.concur.com.au/sites/default/files/au/ll.png, ,https://www.concur.com.au/casestudy/lewis-land, , , , ,Real Estate,600,"Sydney, Australia",AU,Concur Expense,,,
casestudy_university-sydney,university-sydney,casestudy, ,https://www.concur.com.au/sites/default/files/au/university-of-sydney-logo-web.png, ,https://www.concur.com.au/casestudy/university-sydney, , , , ,Education,7000,Australia,AU,Concur Expense,,,
casestudy_tafe-nsw,tafe-nsw,casestudy, ,https://www.concur.com.au/sites/default/files/au/tafe-nsw.png, ,https://www.concur.com.au/casestudy/tafe-nsw, , , , ,Education,5000,Australia,AU,Concur Expense Pay,,,
