## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.industry_rank,entity.industry,entity.numberofemployees,entity.companyheadquarters,entity.marketsite,entity.product,entity.custom8,entity.custom9,entity.custom10,entity.employee_range
casestudy_gallagher,gallagher,casestudy, ,https://www.concur.com.au/sites/default/files/au/gallagher-logo-01.jpg, ,https://www.concur.com.au/casestudy/gallagher, , , ,0,Agriculture,1300,"Hamilton, New Zealand",AU,Concur Expense,, , ,"1,000 - 1,999"
casestudy_rizing,rizing,casestudy, ,https://www.concur.com.au/sites/default/files/au/rizinghcm_color-positive_rgb_220-1.png, ,https://www.concur.com.au/casestudy/rizing, , , ,0,Business Services,1440,Not Found,AU,Concur Travel,, , ,"1,000 - 1,999"
casestudy_findex,findex,casestudy, ,https://www.concur.com.au/sites/default/files/au/findex-logo.jpg, ,https://www.concur.com.au/casestudy/findex, , , ,0,Business Services,3100,Australia,AU,Concur Travel,, , ,"3,000 - 5,999"
casestudy_tax-institute,tax-institute,casestudy, ,https://www.concur.com.au/sites/default/files/au/tax_institute.high_.jpg, ,https://www.concur.com.au/casestudy/tax-institute, , , ,0,Business Services,70,"Sydney, Australia",AU,Concur Expense,, , ,50 - 99
casestudy_orica,orica,casestudy, ,https://www.concur.com.au/sites/default/files/au/orica_logo.png, ,https://www.concur.com.au/casestudy/orica, , , ,0,Construction,11500,Australia,AU,Concur Travel,, , ,"10,000 - 49,999"
casestudy_lion,lion,casestudy, ,https://www.concur.com.au/sites/default/files/au/lion_logo1.jpg, ,https://www.concur.com.au/casestudy/lion, , , ,0,Consumer Products Manufacturers,2700,Australia,AU,Concur Expense,, , ,"2,000 - 2,999"
casestudy_dermalogica,dermalogica,casestudy, ,https://www.concur.com.au/sites/default/files/au/dermalogica_logo.png, ,https://www.concur.com.au/casestudy/dermalogica, , , ,0,Consumer Products Manufacturers,180,"Sydney, Australia",AU,Concur Expense,, , ,100 - 499
casestudy_kelloggs,kelloggs,casestudy, ,https://www.concur.com.au/sites/default/files/au/logo_kellogg_au.png, ,https://www.concur.com.au/casestudy/kelloggs, , , ,0,Consumer Products Manufacturers,31000,"Manchester, United Kingdom",AU,Concur Travel,, , ,"10,000 - 49,999"
casestudy_university-sydney,university-sydney,casestudy, ,https://www.concur.com.au/sites/default/files/au/university-of-sydney-logo-web.png, ,https://www.concur.com.au/casestudy/university-sydney, , , ,1,Education,7000,Australia,AU,Concur Expense,, , ,"6,000 - 9,999"
casestudy_tafe-nsw,tafe-nsw,casestudy, ,https://www.concur.com.au/sites/default/files/au/tafe-nsw.png, ,https://www.concur.com.au/casestudy/tafe-nsw, , , ,1,Education,5000,Australia,AU,Concur Expense Pay,, , ,"3,000 - 5,999"
