## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.industry,entity.numberofemployees,entity.companyheadquarters,entity.marketsite,entity.custom7,entity.employee_range,entity.custom9,entity.custom10
casestudy_cloudera,cloudera, , ,https://www.concur.ca/sites/default/files/ca/cloudera-logo.png, ,https://www.concur.ca/casestudy/cloudera, , , , ,Technology,1300,"Palo Alto, CA",CA, ,"1,000 - 1,999", , 
casestudy_illinois-tool-works,illinois-tool-works, , ,https://www.concur.ca/sites/default/files/ca/itw-logo.png, ,https://www.concur.ca/casestudy/illinois-tool-works, , , , ,Manufacturing,45001,"Glenview, Illinois",CA, ,"10,000 - 49,999", , 
casestudy_grand-valley-fortifiers,grand-valley-fortifiers, , ,https://www.concur.ca/sites/default/files/ca/grand_valley_fortifiers_logo.jpeg, ,https://www.concur.ca/casestudy/grand-valley-fortifiers, , , , ,Food Beverage,130,"Ontario, Canada",CA, ,100 - 499, , 
casestudy_pentax,pentax, , ,https://www.concur.ca/sites/default/files/ca/pentax-logo.jpg, ,https://www.concur.ca/casestudy/pentax, , , , ,Technology,400,"Ottawa, Ontario",CA, ,100 - 499, , 
casestudy_ontario-power-generation,ontario-power-generation, , ,https://www.concur.ca/sites/default/files/ca/opgcol.jpg, ,https://www.concur.ca/casestudy/ontario-power-generation, , , , ,Energy Services,13000,"Toronto, Ontario",CA, ,"10,000 - 49,999", , 
casestudy_conquest-equipment,conquest-equipment, , ,https://www.concur.ca/sites/default/files/ca/screenshot_2024-04-29_at_11.19.05_am.png, ,https://www.concur.ca/casestudy/conquest-equipment, , , , ,Construction,18568,"Estevan, Saskatchewan",CA, ,"10,000 - 49,999", , 
casestudy_creer-un-processus-de-depenses-plus-intelligent-pour-graham-construction,creer-un-processus-de-depenses-plus-intelligent-pour-graham-construction, , ,https://www.concur.ca/sites/default/files/ca/graham_0.png, ,https://www.concur.ca/casestudy/creer-un-processus-de-depenses-plus-intelligent-pour-graham-construction, , , , ,Construction,1700,"Calgary, Alberta",CA, ,"1,000 - 1,999", , 
casestudy_grand-valley-fortifiers-adoptent-un-solution-prete-limpot-pour-gerer-les-depenses,grand-valley-fortifiers-adoptent-un-solution-prete-limpot-pour-gerer-les-depenses, , ,https://www.concur.ca/sites/default/files/ca/grand_valley_fortifiers_logo_0.jpeg, ,https://www.concur.ca/casestudy/grand-valley-fortifiers-adoptent-un-solution-prete-limpot-pour-gerer-les-depenses, , , , ,Food Beverage,130,"Ontario, Canada",CA, ,100 - 499, , 
casestudy_lassociation-des-infirmieres-de-lontario-transforme-sa-gestion-des-depenses,lassociation-des-infirmieres-de-lontario-transforme-sa-gestion-des-depenses, , ,https://www.concur.ca/sites/default/files/ca/ona_logo.jpeg, ,https://www.concur.ca/casestudy/lassociation-des-infirmieres-de-lontario-transforme-sa-gestion-des-depenses, , , , ,Health Care,235,"Toronto, Ontario",CA, ,100 - 499, , 
casestudy_inddigo,inddigo, , ,https://www.concur.ca/sites/default/files/ca/screenshot_2024-01-08_at_4.49.12_pm.png, ,https://www.concur.ca/casestudy/inddigo, , , , ,Professional Services,280,"Paris, France",CA, ,100 - 499, , 
casestudy_chobani,chobani, , ,https://www.concur.ca/sites/default/files/ca/screenshot_2024-01-08_at_4.20.14_pm.png, ,https://www.concur.ca/casestudy/chobani, , , , ,Food Beverage,2000,"Norwich, New York",CA, ,"2,000 - 2,999", , 
casestudy_destination-bc,destination-bc, , ,https://www.concur.ca/sites/default/files/ca/destination_bc.png, ,https://www.concur.ca/casestudy/destination-bc, , , , ,Travel,137,"Vancouver, BC",CA, ,100 - 499, , 
casestudy_brettyoung-continue-de-gagner-du-temps-grace-lautomatisation-des-depenses,brettyoung-continue-de-gagner-du-temps-grace-lautomatisation-des-depenses, , ,https://www.concur.ca/sites/default/files/ca/screenshot_2023-06-27_at_3.30.05_pm.png, ,https://www.concur.ca/casestudy/brettyoung-continue-de-gagner-du-temps-grace-lautomatisation-des-depenses, , , , ,Manufacturing,170,"Winnipeg, Manitoba, Canada",CA, ,100 - 499, , 
casestudy_tech-interactive,tech-interactive, , ,https://www.concur.ca/sites/default/files/ca/screenshot_2023-06-08_at_5.00.07_pm.png, ,https://www.concur.ca/casestudy/tech-interactive, , , , ,Non-Profit,80,"San Jose, CA",CA, ,50 - 99, , 
casestudy_serco-0,serco-0, , ,https://www.concur.ca/sites/default/files/ca/serco.png, ,https://www.concur.ca/casestudy/serco-0, , , , ,Government,50000,"Hook, Hampshire, England",CA, ,"> 50,000", , 
casestudy_cirque-du-soleil-eng,cirque-du-soleil-eng, , ,https://www.concur.ca/sites/default/files/ca/screenshot_2023-03-07_at_2.24.08_pm_2.png, ,https://www.concur.ca/casestudy/cirque-du-soleil-eng, , , , ,Entertainment,4000,"Montreal, Quebec, Canada",CA, ,"3,000 - 5,999", , 
casestudy_acquis-consulting-group,acquis-consulting-group, , ,https://www.concur.ca/sites/default/files/ca/acquis_1_1.jpeg, ,https://www.concur.ca/casestudy/acquis-consulting-group, , , , ,Professional Services,125,"New York, NY",CA, ,100 - 499, , 
casestudy_merck,merck, , ,https://www.concur.ca/sites/default/files/ca/merck_logo_logotype_1.jpeg, ,https://www.concur.ca/casestudy/merck, , , , ,Pharmaceutical,65000,"Rahway, NJ",CA, ,"> 50,000", , 
casestudy_standard-chartered-bank,standard-chartered-bank, , ,https://www.concur.ca/sites/default/files/ca/sc-lock-up-english-grey-rgb_1.png, ,https://www.concur.ca/casestudy/standard-chartered-bank, , , , ,Financial,85000,"London, UK",CA, ,"> 50,000", , 
casestudy_gallagher,gallagher, , ,https://www.concur.ca/sites/default/files/ca/gallagher-logo-sml_1.jpeg, ,https://www.concur.ca/casestudy/gallagher, , , , ,Manufacturing,1300,"Hamilton, New Zealand",CA, ,"1,000 - 1,999", , 
casestudy_cirque-du-soleil-fr,cirque-du-soleil-fr, , ,https://www.concur.ca/sites/default/files/ca/screenshot_2023-03-07_at_2.24.08_pm_1.png, ,https://www.concur.ca/casestudy/cirque-du-soleil-fr, , , , ,Entertainment,4001,"Montréal, Québec, Canada",CA, ,"3,000 - 5,999", , 
casestudy_ocean-network-express,ocean-network-express, , ,https://www.concur.ca/sites/default/files/ca/ocean_network_express.png, ,https://www.concur.ca/casestudy/ocean-network-express, , , , ,Logistics,14000,Singapore,CA, ,"10,000 - 49,999", , 
casestudy_code42,code42, , ,https://www.concur.ca/sites/default/files/ca/code42.png, ,https://www.concur.ca/casestudy/code42, , , , ,Technology,400,"Minneapolis, MN",CA, ,100 - 499, , 
casestudy_ntt-data-philippines,ntt-data-philippines, , ,https://www.concur.ca/sites/default/files/ca/ntt_data.png, ,https://www.concur.ca/casestudy/ntt-data-philippines, , , , ,Professional Services,5001,"Manila, Philippines",CA, ,"3,000 - 5,999", , 
casestudy_cardtronics,cardtronics, , ,https://www.concur.ca/sites/default/files/ca/cardtronics.png, ,https://www.concur.ca/casestudy/cardtronics, , , , ,Manufacturing,2000,"Houston, TX",CA, ,"2,000 - 2,999", , 
casestudy_plymouth-rock-assurance,plymouth-rock-assurance, , ,https://www.concur.ca/sites/default/files/ca/screenshot_2022-12-20_at_11.17.19_am.png, ,https://www.concur.ca/casestudy/plymouth-rock-assurance, , , , ,Insurance,2000,"Boston, MA",CA, ,"2,000 - 2,999", , 
casestudy_penn-state-huron-consulting,penn-state-huron-consulting, , ,https://www.concur.ca/sites/default/files/ca/psu_hor_rgb_2c.png, ,https://www.concur.ca/casestudy/penn-state-huron-consulting, , , , ,Education,33545,"University Park, PA",CA, ,"10,000 - 49,999", , 
casestudy_simons-foundation,simons-foundation, , ,https://www.concur.ca/sites/default/files/ca/simons_foundation.png, ,https://www.concur.ca/casestudy/simons-foundation, , , , ,Non-Profit,450,"New York, NY",CA, ,100 - 499, , 
casestudy_recordati-rare-diseases,recordati-rare-diseases, , ,https://www.concur.ca/sites/default/files/ca/recordati.png, ,https://www.concur.ca/casestudy/recordati-rare-diseases, , , , ,Pharmaceutical,50,New Jersey,CA, ,50 - 99, , 
