## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.industry_rank,entity.industry,entity.numberofemployees,entity.companyheadquarters,entity.marketsite,entity.employee_range,entity.custom8,entity.custom9,entity.custom10,
yit,casestudy_yit,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/yit.jpg, ,https://www.concur.co.uk/casestudy/yit,,, ,0,Construction,7000,Finland,UK,"6,000 - 9,999", , , , 
atkins,casestudy_atkins,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/atkins_gobal.png, ,https://www.concur.co.uk/casestudy/atkins,,, ,0,Construction,19,"Worcester, UK",UK,< 50, , , , 
sauter,casestudy_sauter,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/logo_sauter_4.jpg, ,https://www.concur.co.uk/casestudy/sauter,,, ,0,Construction,2000,"UK, Germany. Austria, Switzerland, Belgium, Czech Republic, Slovakia, China, The Middle East",UK,"2,000 - 2,999", , , , 
city-guilds-group-embraces-sap-concur-transform-its-discretionary-spend-management,casestudy_city-guilds-group-embraces-sap-concur-transform-its-discretionary-spend-management,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/cgg_logo_positive_2000px_jpg.jpg, ,https://www.concur.co.uk/casestudy/city-guilds-group-embraces-sap-concur-transform-its-discretionary-spend-management,,, ,0,Education,1500,"London, UK",UK,"1,000 - 1,999", , , , 
university-portsmouth,casestudy_university-portsmouth,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/univerisity_of_portsmouth_logo.png, ,https://www.concur.co.uk/casestudy/university-portsmouth,,, ,0,Education,3500,UK,UK,"3,000 - 5,999", , , , 
bourns,casestudy_bourns,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/bourns_2.jpg, ,https://www.concur.co.uk/casestudy/bourns,,, ,0,Electronics,4200,"Riverside, CA",UK,"3,000 - 5,999", , , , 
peak-scientific,casestudy_peak-scientific,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/peak_scientific.jpg, ,https://www.concur.co.uk/casestudy/peak-scientific,,, ,0,Energy Services,450,"Glasgow, UK",UK,100 - 499, , , , 
cirque-du-soleil,casestudy_cirque-du-soleil,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/sap_concur_cirque_du_soleil_case_study_creative_english_version_wip.jpeg, ,https://www.concur.co.uk/casestudy/cirque-du-soleil,,, ,0,Entertainment,4001,"Montreal, Quebec",UK,"3,000 - 5,999", , , , 
leisure-company,casestudy_leisure-company,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/lesiure_company.png, ,https://www.concur.co.uk/casestudy/leisure-company,,, ,0,Entertainment,14000,UK,UK,"10,000 - 49,999", , , , 
drc-capital-llp,casestudy_drc-capital-llp,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/drc_logo.png, ,https://www.concur.co.uk/casestudy/drc-capital-llp,,, ,1,Financial,16,"London, UK",UK,< 50, , , , 
ascot-lloyd,casestudy_ascot-lloyd,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/ascot-lloyd-logo-bg.png, ,https://www.concur.co.uk/casestudy/ascot-lloyd,,, ,1,Financial,500,Not Found,UK,500 - 749, , , , 
finastra,casestudy_finastra,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/finastra_logo.jpg, ,https://www.concur.co.uk/casestudy/finastra,,, ,1,Financial,9000,London,UK,"6,000 - 9,999", , , , 
standard-chartered-bank,casestudy_standard-chartered-bank,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/sc-lock-up-english-grey-rgb_1.png, ,https://www.concur.co.uk/casestudy/standard-chartered-bank,,, ,0,Financial,85000,London,UK,"> 50,000", , , , 
landbay,casestudy_landbay,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/logo_0.png, ,https://www.concur.co.uk/casestudy/landbay,,, ,0,Financial,100,"London, UK",UK,100 - 499, , , , 
barclays,casestudy_barclays,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/barclays_logo.png, ,https://www.concur.co.uk/casestudy/barclays,,, ,1,Financial,85000,"London, UK",UK,"> 50,000", , , , 
mandara-capital,casestudy_mandara-capital,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/mandara_capital_logo.png, ,https://www.concur.co.uk/casestudy/mandara-capital,,, ,0,Financial,60,"London, UK",UK,50 - 99, , , , 
fbd-insurance,casestudy_fbd-insurance,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/fbd_insurance.png, ,https://www.concur.co.uk/casestudy/fbd-insurance,,, ,0,Financial,900,"Dublin, Ireland",UK,750 - 999, , , , 
jpmorgan-chase,casestudy_jpmorgan-chase,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/jp-morgan-chase-logo.jpg, ,https://www.concur.co.uk/casestudy/jpmorgan-chase,,, ,0,Financial,250000,New York,UK,"> 50,000", , , , 
lindt,casestudy_lindt,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/lindt-logo-900x550.jpg, ,https://www.concur.co.uk/casestudy/lindt,,, ,1,Food Beverage,15000,Germany,UK,"10,000 - 49,999", , , , 
glanbia,casestudy_glanbia,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/download_0.png, ,https://www.concur.co.uk/casestudy/glanbia,,, ,1,Food Beverage,6900,"Kilkenny, Ireland",UK,"6,000 - 9,999", , , , 
bacardi,casestudy_bacardi,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/bac.png, ,https://www.concur.co.uk/casestudy/bacardi,,, ,1,Food Beverage,250,Bermuda,UK,100 - 499, , , , 
imperial-brands,casestudy_imperial-brands,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/logo.jpg, ,https://www.concur.co.uk/casestudy/imperial-brands,,, ,0,Food Beverage,33500,"Bristol, UK",UK,"10,000 - 49,999", , , , 
apetito,casestudy_apetito,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/apetito_logo.gif, ,https://www.concur.co.uk/casestudy/apetito,,, ,0,Food Beverage,1200,"Trowbridge, UK",UK,"1,000 - 1,999", , , , 
bakkavor,casestudy_bakkavor,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/bakkavorlogo.jpg, ,https://www.concur.co.uk/casestudy/bakkavor,,, ,0,Food Beverage,19000,"London, UK",UK,"10,000 - 49,999", , , , 
kelloggs,casestudy_kelloggs,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/logo_kellogg_0_4.png, ,https://www.concur.co.uk/casestudy/kelloggs,,, ,0,Food Beverage,31000,UK,UK,"10,000 - 49,999", , , , 
barnsley-council-adopts-concur-expense-part-drive-digital-transformation,casestudy_barnsley-council-adopts-concur-expense-part-drive-digital-transformation,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/barnsley_metropolitan_borough_council_logo.svg_.png, ,https://www.concur.co.uk/casestudy/barnsley-council-adopts-concur-expense-part-drive-digital-transformation,,, ,0,Government,3000,"Barnsley, UK",UK,"3,000 - 5,999", , , , 
ingeus-0,casestudy_ingeus-0,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/ingeus_0.jpg, ,https://www.concur.co.uk/casestudy/ingeus-0,,, ,0,Government,2500,London,UK,"2,000 - 2,999", , , , 
serco,casestudy_serco,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/serco_ltd.png, ,https://www.concur.co.uk/casestudy/serco,,, ,0,Government,50000,"Hook, Hampshire, England",UK,"> 50,000", , , , 
smith-nephew-part-3-3,casestudy_smith-nephew-part-3-3,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/smith_nephew_logo_1.png, ,https://www.concur.co.uk/casestudy/smith-nephew-part-3-3,,, ,0,Health Care,16000,"London, UK",UK,"10,000 - 49,999", , , , 
smith-nephew-part-2-3,casestudy_smith-nephew-part-2-3,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/smith_nephew_logo_0.png, ,https://www.concur.co.uk/casestudy/smith-nephew-part-2-3,,, ,0,Health Care,16000,"London, UK",UK,"10,000 - 49,999", , , , 
smith-nephew-part-1-3-0,casestudy_smith-nephew-part-1-3-0,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/smith_nephew_logo.png, ,https://www.concur.co.uk/casestudy/smith-nephew-part-1-3-0,,, ,1,Health Care,16000,"London, UK",UK,"10,000 - 49,999", , , , 
novo-nordisk,casestudy_novo-nordisk,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/logo_nordisk_0_4.png, ,https://www.concur.co.uk/casestudy/novo-nordisk,,, ,1,Health Care,36000,Denmark,UK,"10,000 - 49,999", , , , 
phonak,casestudy_phonak,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/phonak_logo_4.png, ,https://www.concur.co.uk/casestudy/phonak,,, ,1,Health Care,200,UK,,100 - 499, , , , 
das-0,casestudy_das-0,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/das_0.jpg, ,https://www.concur.co.uk/casestudy/das-0,,, ,0,Legal Services,750,"Bristol, UK",UK,750 - 999, , , , 
postnl,casestudy_postnl,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/thy.png, ,https://www.concur.co.uk/casestudy/postnl,,, ,0,Logistics,46000,"The Hague, NL",UK,"10,000 - 49,999", , , , 
snow-software,casestudy_snow-software,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/snow_software.png, ,https://www.concur.co.uk/casestudy/snow-software,,, ,0,Manufacturing,100,Sweden,UK,100 - 499, , , , 
brand-rex,casestudy_brand-rex,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/brandrex_lev_rgb.jpg, ,https://www.concur.co.uk/casestudy/brand-rex,,, ,1,Manufacturing,300,Scotland,UK,100 - 499, , , , 
tetra-pak,casestudy_tetra-pak,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/screenshot_2024-01-31_at_16.48.31.png, ,https://www.concur.co.uk/casestudy/tetra-pak,,, ,1,Manufacturing,25000,"Lund, Sweden",UK,"10,000 - 49,999", , , , 
specsavers,casestudy_specsavers,casestudy, ,https://www.concur.co.uk/sites/default/files/uk/ss-logo.jpg, ,https://www.concur.co.uk/casestudy/specsavers,,, ,0,Manufacturing,41500,International,UK,"10,000 - 49,999", , , , 
