## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.visitcount,entity.blogType,entity.numberofemployees,entity.companyheadquarters,entity.product,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10
casestudy_team-liquid,team-liquid,casestudy, ,https://www.concur.com/sites/default/files/vertical-mono-dark.png, ,https://www.concur.com/en-us/casestudy/team-liquid, , , , ,250,"Utrecht, Netherlands and Los Angeles",Concur Expense, , , , , 
casestudy_petronas,petronas,casestudy, ,https://www.concur.com/sites/default/files/petronas_logo_0.png, ,https://www.concur.com/en-us/casestudy/petronas, , , , ,"47,600","Kuala Lumpur, Malaysia",Concur Expense, , , , , 
casestudy_kuka,kuka,casestudy, ,https://www.concur.com/sites/default/files/kuka-logo-orange-gradient-rgb-s-clear.png, ,https://www.concur.com/en-us/casestudy/kuka, , , , ,"15,000","Augsburg, Germany",Concur Expense, , , , , 
casestudy_uber,uber,casestudy, ,https://www.concur.com/sites/default/files/uber-logo-650x366.png, ,https://www.concur.com/en-us/casestudy/uber, , , , ,"26,000","San Francisco, CA",Concur Expense, , , , , 
casestudy_campari-group,campari-group,casestudy, ,https://www.concur.com/sites/default/files/camparilogo_0.png, ,https://www.concur.com/en-us/casestudy/campari-group, , , , ,"4,700","Milan, Italy",Concur Expense, , , , , 
casestudy_american-eagle-outfitters,american-eagle-outfitters,casestudy, ,https://www.concur.com/sites/default/files/aeo_inc_v2-01.jpg, ,https://www.concur.com/en-us/casestudy/american-eagle-outfitters, , , , ,"40,001","Pittsburgh, Pennsylvania",Concur Expense, , , , , 
casestudy_chobani,chobani,casestudy, ,https://www.concur.com/sites/default/files/chobani_llc_logo.png, ,https://www.concur.com/en-us/casestudy/chobani, , , , ,"2,000","Norwich, New York",Concur Expense, , , , , 
casestudy_destination-bc,destination-bc,casestudy, ,https://www.concur.com/sites/default/files/destination_bc.png, ,https://www.concur.com/en-us/casestudy/destination-bc, , , , ,137,"Vancouver, BC",Concur Invoice, , , , , 
casestudy_snp-group,snp-group,casestudy, ,https://www.concur.com/sites/default/files/snp_group_logo.png, ,https://www.concur.com/en-us/casestudy/snp-group, , , , ,"1,400","Heidelberg, Germany",Concur Expense, , , , , 
casestudy_fulton-county-schools-genesis-consulting,fulton-county-schools-genesis-consulting,casestudy, ,https://www.concur.com/sites/default/files/fulton-county-homepage-logo-2.png, ,https://www.concur.com/en-us/casestudy/fulton-county-schools-genesis-consulting, , , , ,"14,000","Atlanta, Georgia",Concur Expense, , , , , 
casestudy_longchamp,longchamp,casestudy, ,https://www.concur.com/sites/default/files/longchamp.jpg, ,https://www.concur.com/en-us/casestudy/longchamp, , , , ,2500,France,Concur Expense, , , , , 
casestudy_tetra-pak,tetra-pak,casestudy, ,https://www.concur.com/sites/default/files/tetrapak.jpeg, ,https://www.concur.com/en-us/casestudy/tetra-pak, , , , ,"25,000","Lund, Sweden",Concur Expense, , , , , 
casestudy_cirque-du-soleil,cirque-du-soleil,casestudy, ,https://www.concur.com/sites/default/files/sap_concur_cirque_du_soleil_case_study_creative_english_version_wip.jpg, ,https://www.concur.com/en-us/casestudy/cirque-du-soleil, , , , ,4001,"Montreal, Quebec",Concur Expense, , , , , 
casestudy_gallagher,gallagher,casestudy, ,https://www.concur.com/sites/default/files/gallagher-logo-sml_1.jpg, ,https://www.concur.com/en-us/casestudy/gallagher, , , , ,1300,"Hamilton, New Zealand",Concur Expense, , , , , 
casestudy_standard-chartered-bank,standard-chartered-bank,casestudy, ,https://www.concur.com/sites/default/files/sc-lock-up-english-grey-rgb_1.png, ,https://www.concur.com/en-us/casestudy/standard-chartered-bank, , , , ,"85,000",London,Concur Expense, , , , , 
casestudy_merck,merck,casestudy, ,https://www.concur.com/sites/default/files/merck_logo_logotype_1.png, ,https://www.concur.com/en-us/casestudy/merck, , , , ,"65,000","Rahway, NJ",Concur Expense, , , , , 
